position,name,team,level,league,nationality,dob,age,overall,potential,salary,years_left,contract_value,total_years
3B,PEANUT DEAN,Montreal,MLB,MLB,USA,09/23/2041,26,4.0,4.0,17212221.0,9,149697768.0,9
SP,KANG DOO-KI,Toronto,MLB,MLB,KOR,06/29/2042,25,5.0,5.0,17000000.0,7,119000000.0,7
SS,Nateshon Cannon,Nashville,MLB,MLB,USA,01/16/2035,33,5.0,5.0,12800000.0,4,88700000.0,8
SP,Aiden Duncan,Washington,MLB,MLB,SCO,07/05/2035,32,5.0,5.0,11800000.0,4,82600000.0,7
1B,Luis Vazquez,Chicago,MLB,MLB,PUR,04/12/2036,31,4.0,4.0,11800000.0,1,49600000.0,5
SP,Urban Henry,Nashville,MLB,MLB,LCA,08/23/2023,44,4.0,4.0,11209333.0,2,21453744.0,2
SP,Jayden Carter,Austin,MLB,MLB,USA,02/12/2029,38,3.0,3.0,11029222.0,2,22058444.0,2
1B,Yon Blanco,Carolina,MLB,MLB,CUB,06/12/2033,34,3.5,3.5,10600000.0,4,50400000.0,5
LF,Jacob Mickelsen,San Francisco,MLB,MLB,USA,08/28/2034,33,5.0,5.0,10400000.0,1,43300000.0,5
SP,Cruz Rodríguez,San Francisco,MLB,MLB,CUB,07/02/2037,30,3.5,3.5,10400000.0,1,49400000.0,5
RF,KWAME VOLKOV,Vancouver,MLB,MLB,GHA,05/09/2037,30,4.5,4.5,9833021.0,7,73541720.0,7
1B,Matias Casillas,Portland,MLB,MLB,CUB,01/14/2035,33,4.5,4.5,9600000.0,5,67200000.0,7
3B,Alfredo García,Toronto,MLB,MLB,PUR,07/25/2037,30,4.5,4.5,9400000.0,2,36400000.0,4
SP,Mark Wleh,Chicago,MLB,MLB,LBR,08/08/2031,36,4.5,4.5,9247722.0,3,62471944.0,5
LF,Chris Perez,San Diego,MLB,MLB,USA,10/09/2033,34,5.0,5.0,9237492.0,7,92374920.0,10
LF,Jason Mares,Carolina,MLB,MLB,USA,06/08/2038,29,4.0,4.5,9200000.0,6,75400000.0,7
